"Articulo1","Articulo2","ClaveCliente","ClaveVendedor","FoliosJuntos"
"SCPU99R","SFKA01L","5092","7","2"
"SCPU99R","SFKA01R","5092","7","2"
"SCPU99R","SFPU92L","5092","7","2"
"SCPU99R","SFPU92R","5092","7","2"
"SCPU99R","SFRA93R","5092","7","2"
"SCPU99R","SFVA97L","5092","7","2"
"SFES97L","SFES97R","5092","7","2"
"SFES97L","SFKA01L","5092","7","2"
"SFES97L","SFKA01R","5092","7","2"
"SFES97L","SFPU92L","5092","7","2"
"SFES97L","SFPU92R","5092","7","2"
"SFES97L","SFRA93R","5092","7","2"
"SFES97L","SFVA97L","5092","7","2"
"SFES97R","SFKA01L","5092","7","2"
"SFES97R","SFKA01R","5092","7","2"
"SFES97R","SFPU92L","5092","7","2"
"SFES97R","SFPU92R","5092","7","2"
"SFES97R","SFRA93R","5092","7","2"
"SFES97R","SFVA97L","5092","7","2"
"SFKA01L","SFKA01R","5092","7","2"
